frame,chromosome,shadow_start,shadow_end,strand,sequence_length,GC_percent,AT_percent,GC_stretch
-1,NC_072423.2,100411333,100411682,-,349,63.61,36.39,3.44444444444444
-3,NC_072423.2,100412687,100412990,-,303,64.356,35.644,4.16666666666667
-1,NC_072423.2,100414219,100414312,-,93,68.817,31.183,3.4
-1,NC_072423.2,10041751,10041788,-,37,27.027,72.973,3.5
-1,NC_072423.2,100421203,100421701,-,498,74.096,25.904,4.0
-3,NC_072423.2,100421321,100421323,-,2,100.0,0.0,3.5
-3,NC_072423.2,100422614,100422727,-,113,67.257,32.743,4.0
-2,NC_072423.2,100426935,100427506,-,571,57.968,42.032,5.0
-2,NC_072423.2,10044195,10044256,-,61,49.18,50.82,4.0
2,NC_072423.2,100446224,100446334,+,110,82.727,17.273,3.8
2,NC_072423.2,100445698,100446334,+,636,82.075,17.925,3.33333333333333
-2,NC_072423.2,10047795,10047819,-,24,41.667,58.333,5.32352941176471
-3,NC_072423.2,10050749,10050787,-,38,42.105,57.895,4.22222222222222
-3,NC_072423.2,10050749,10050787,-,38,42.105,57.895,3.5
-3,NC_072423.2,100553150,100553451,-,301,65.449,34.551,4.14893617021277
-1,NC_072423.2,100554388,100554469,-,81,61.728,38.272,3.0
-2,NC_072423.2,100555377,100555445,-,68,75.0,25.0,3.45454545454545
-2,NC_072423.2,100562829,100562878,-,49,71.429,28.571,4.66666666666667
3,NC_072423.2,100610702,100610795,+,93,65.591,34.409,3.63636363636364
2,NC_072423.2,100611138,100611139,+,1,100.0,0.0,4.0
2,NC_072423.2,100611845,100612000,+,155,56.774,43.226,3.75
3,NC_072423.2,100612195,100612196,+,1,100.0,0.0,4.33333333333333
-2,NC_072423.2,10065537,10065568,-,31,35.484,64.516,4.66666666666667
-2,NC_072423.2,100671654,100671656,-,2,50.0,50.0,3.30769230769231
-3,NC_072423.2,10067888,10067958,-,70,40.0,60.0,6.02469135802469
-3,NC_072423.2,10067888,10067958,-,70,40.0,60.0,3.5
-2,NC_072423.2,100743960,100744077,-,117,56.41,43.59,3.16666666666667
-3,NC_072423.2,100745204,100745244,-,40,65.0,35.0,3.75
-2,NC_072423.2,100747431,100747588,-,157,59.236,40.764,3.0
-3,NC_072423.2,100748984,100749198,-,214,62.15,37.85,4.0
-3,NC_072423.2,100759496,100759710,-,214,59.346,40.654,3.5
-2,NC_072423.2,100760571,100760587,-,16,81.25,18.75,3.4
-3,NC_072423.2,100761200,100761295,-,95,67.368,32.632,3.0
-1,NC_072423.2,100761877,100761943,-,66,62.121,37.879,3.0
-3,NC_072423.2,100804322,100804335,-,13,61.538,38.462,3.66666666666667
-2,NC_072423.2,100886229,100886231,-,2,50.0,50.0,3.46153846153846
3,NC_072423.2,100910303,100910354,+,51,66.667,33.333,4.21052631578947
1,NC_072423.2,100911178,100911234,+,56,78.571,21.429,3.75
1,NC_072423.2,100912170,100912188,+,18,61.111,38.889,3.0
1,NC_072423.2,100912975,100913070,+,95,71.579,28.421,4.0
2,NC_072423.2,100914697,100914817,+,120,70.0,30.0,3.2
1,NC_072423.2,100915047,100915347,+,300,69.0,31.0,4.68
2,NC_072423.2,100915487,100915618,+,131,63.359,36.641,3.0
3,NC_072423.2,100917317,100917506,+,189,70.37,29.63,3.33333333333333
2,NC_072423.2,100918508,100918513,+,5,60.0,40.0,5.08333333333333
3,NC_072423.2,100919177,100919243,+,66,75.758,24.242,3.0
3,NC_072423.2,100919911,100920020,+,109,70.642,29.358,4.0
1,NC_072423.2,100920257,100920414,+,157,71.338,28.662,3.6
2,NC_072423.2,100920637,100920718,+,81,64.198,35.802,6.28
1,NC_072423.2,100921316,100921431,+,115,66.087,33.913,3.0
2,NC_072423.2,100921816,100922005,+,189,68.254,31.746,5.0
3,NC_072423.2,100922094,100922231,+,137,64.964,35.036,4.0
1,NC_072423.2,100925657,100925658,+,1,100.0,0.0,3.0
1,NC_072423.2,100926298,100926366,+,68,69.118,30.882,3.76923076923077
2,NC_072423.2,100926786,100926802,+,16,81.25,18.75,3.96774193548387
3,NC_072423.2,100927430,100927457,+,27,70.37,29.63,3.55555555555556
2,NC_072423.2,100927916,100927978,+,62,64.516,35.484,4.0
-1,NC_072423.2,100929835,100930801,-,966,66.046,33.954,3.78260869565217
-2,NC_072423.2,10093059,10093113,-,54,44.444,55.556,5.33333333333333
-2,NC_072423.2,100936632,100936693,-,61,80.328,19.672,4.41666666666667
-2,NC_072423.2,100936632,100936693,-,61,80.328,19.672,4.0
-1,NC_072423.2,100937086,100937447,-,361,68.144,31.856,3.0
-3,NC_072423.2,100937702,100937898,-,196,69.898,30.102,4.06666666666667
-1,NC_072423.2,100938334,100938410,-,76,72.368,27.632,4.0
-1,NC_072423.2,100938334,100938410,-,76,72.368,27.632,4.0
-1,NC_072423.2,100939114,100939271,-,157,65.605,34.395,3.33333333333333
-1,NC_072423.2,100939114,100939271,-,157,65.605,34.395,3.33333333333333
-3,NC_072423.2,100942697,100942757,-,60,63.333,36.667,3.0
-1,NC_072423.2,10094707,10094896,-,189,89.947,10.053,3.0
-2,NC_072423.2,100955571,100955761,-,190,80.0,20.0,3.71428571428571
-3,NC_072423.2,101023682,101023733,-,51,64.706,35.294,3.0
-2,NC_072423.2,101024589,101024591,-,2,100.0,0.0,7.0
-3,NC_072423.2,101024867,101024946,-,79,69.62,30.38,4.23076923076923
-2,NC_072423.2,101026548,101026705,-,157,70.701,29.299,4.0
-3,NC_072423.2,101027432,101027514,-,82,67.073,32.927,3.0
-2,NC_072423.2,101032491,101032534,-,43,69.767,30.233,5.30769230769231
-3,NC_072423.2,101036729,101036982,-,253,61.66,38.34,5.0
-2,NC_072423.2,101038119,101038125,-,6,50.0,50.0,3.61538461538462
-2,NC_072423.2,101038119,101038125,-,6,50.0,50.0,3.0
-2,NC_072423.2,101038119,101038125,-,6,50.0,50.0,4.22222222222222
-2,NC_072423.2,101038611,101038870,-,259,67.568,32.432,4.06666666666667
1,NC_072423.2,101166120,101166159,+,39,76.923,23.077,3.0
1,NC_072423.2,101166108,101166159,+,51,72.549,27.451,3.33333333333333
1,NC_072423.2,101167107,101167218,+,111,56.757,43.243,3.25
1,NC_072423.2,101168133,101168193,+,60,66.667,33.333,4.0
3,NC_072423.2,101169270,101169290,+,20,50.0,50.0,3.0
2,NC_072423.2,101169664,101169700,+,36,72.222,27.778,4.0
3,NC_072423.2,101169892,101169893,+,1,100.0,0.0,3.0
2,NC_072423.2,101170314,101170315,+,1,100.0,0.0,3.0
2,NC_072423.2,101170874,101171122,+,248,72.984,27.016,4.0
3,NC_072423.2,101171128,101171129,+,1,100.0,0.0,4.85
2,NC_072423.2,101171281,101171506,+,225,73.778,26.222,3.5
3,NC_072423.2,101171762,101171768,+,6,66.667,33.333,3.0
1,NC_072423.2,101172096,101172375,+,279,66.667,33.333,4.0
3,NC_072423.2,101172532,101172977,+,445,65.618,34.382,3.0
2,NC_072423.2,101176259,101176501,+,242,70.661,29.339,4.6
3,NC_072423.2,101176632,101176769,+,137,64.234,35.766,4.4
3,NC_072423.2,101176632,101176769,+,137,64.234,35.766,4.60869565217391
2,NC_072423.2,101188311,101188312,+,1,100.0,0.0,3.75
-1,NC_072423.2,101196358,101196508,-,150,66.667,33.333,3.0
2,NC_072423.2,101197318,101197345,+,27,55.556,44.444,3.625
2,NC_072423.2,101202077,101202082,+,5,40.0,60.0,4.0
2,NC_072423.2,101202077,101202082,+,5,40.0,60.0,3.0
1,NC_072423.2,101203926,101203956,+,30,70.0,30.0,3.71428571428571
-1,NC_072423.2,101351710,101351733,-,23,47.826,52.174,3.0
-2,NC_072423.2,101355963,101355965,-,2,50.0,50.0,4.125
-1,NC_072423.2,101375263,101375471,-,208,67.788,32.212,5.33333333333333
-3,NC_072423.2,101375993,101376116,-,123,60.163,39.837,3.55555555555556
-2,NC_072423.2,101377299,101377301,-,2,50.0,50.0,3.0
-2,NC_072423.2,101380761,101380763,-,2,50.0,50.0,3.625
-1,NC_072423.2,101412181,101412183,-,2,50.0,50.0,3.375
-3,NC_072423.2,101412929,101412931,-,2,50.0,50.0,7.76470588235294
-2,NC_072423.2,101414148,101414266,-,118,69.492,30.508,3.42105263157895
-1,NC_072423.2,101414527,101414529,-,2,100.0,0.0,4.52631578947368
-3,NC_072423.2,101414636,101414739,-,103,66.99,33.01,4.0
-2,NC_072423.2,101416767,101416789,-,22,36.364,63.636,5.0
-3,NC_072423.2,101419394,101419396,-,2,50.0,50.0,3.5
-3,NC_072423.2,101419394,101419396,-,2,50.0,50.0,4.0
-1,NC_072423.2,101419654,101420101,-,447,67.338,32.662,4.0
-2,NC_072423.2,101440338,101440477,-,139,58.273,41.727,5.32727272727273
-2,NC_072423.2,101442762,101442766,-,4,50.0,50.0,3.61538461538462
-3,NC_072423.2,101443700,101443794,-,94,61.702,38.298,3.0
-1,NC_072423.2,101445706,101445708,-,2,100.0,0.0,3.25
-3,NC_072423.2,101447120,101447122,-,2,50.0,50.0,5.0
-1,NC_072423.2,101473939,101473941,-,2,100.0,0.0,3.85714285714286
-3,NC_072423.2,101486126,101486355,-,229,69.869,30.131,3.0
-2,NC_072423.2,101486505,101486635,-,130,72.308,27.692,4.0
-2,NC_072423.2,101486835,101486887,-,52,78.846,21.154,3.0
-3,NC_072423.2,101490887,101490969,-,82,65.854,34.146,3.0
-1,NC_072423.2,101490967,101491349,-,382,71.728,28.272,3.0
-1,NC_072423.2,101491531,101491649,-,118,69.492,30.508,4.0
-1,NC_072423.2,101492104,101492174,-,70,62.857,37.143,3.0
-1,NC_072423.2,101492386,101492434,-,48,56.25,43.75,3.0
-1,NC_072423.2,101492386,101492434,-,48,56.25,43.75,3.16666666666667
-3,NC_072423.2,101492972,101493033,-,61,65.574,34.426,3.71428571428571
-1,NC_072423.2,101492989,101493017,-,28,67.857,32.143,3.5
2,NC_072423.2,101545155,101545156,+,1,100.0,0.0,4.8695652173913
2,NC_072423.2,101547640,101547739,+,99,59.596,40.404,3.26315789473684
1,NC_072423.2,101549431,101549493,+,62,69.355,30.645,4.14285714285714
3,NC_072423.2,101549981,101550221,+,240,66.25,33.75,3.5
2,NC_072423.2,101551614,101551741,+,127,66.142,33.858,3.35294117647059
3,NC_072423.2,101554033,101554034,+,1,100.0,0.0,3.75
1,NC_072423.2,101554920,101555010,+,90,68.889,31.111,3.0
3,NC_072423.2,101555105,101555138,+,33,69.697,30.303,3.0
3,NC_072423.2,101558552,101558720,+,168,57.738,42.262,4.5
3,NC_072423.2,101561255,101561450,+,195,67.179,32.821,6.0
3,NC_072423.2,101683211,101683304,+,93,50.538,49.462,3.75
3,NC_072423.2,101685015,101685026,+,11,45.455,54.545,4.0
2,NC_072423.2,101739160,101739472,+,312,70.192,29.808,3.83333333333333
1,NC_072423.2,101740888,101740998,+,110,65.455,34.545,4.66666666666667
2,NC_072423.2,101745817,101745895,+,78,58.974,41.026,4.0
3,NC_072423.2,101746578,101746613,+,35,71.429,28.571,3.5
2,NC_072423.2,101746896,101746972,+,76,67.105,32.895,3.66666666666667
3,NC_072423.2,101772013,101772014,+,1,100.0,0.0,4.2
2,NC_072423.2,101809053,101809054,+,1,100.0,0.0,4.66666666666667
3,NC_072423.2,101825272,101825273,+,1,100.0,0.0,4.125
1,NC_072423.2,101839951,101840466,+,515,67.379,32.621,4.66666666666667
3,NC_072423.2,101840972,101841068,+,96,72.917,27.083,3.75
-2,NC_072423.2,101851821,101851929,-,108,69.444,30.556,3.0
-2,NC_072423.2,101856537,101856619,-,82,71.951,28.049,4.71428571428571
-3,NC_072423.2,101860340,101860342,-,2,50.0,50.0,5.5
-3,NC_072423.2,101860502,101860958,-,456,67.763,32.237,4.0
-2,NC_072423.2,101861526,101861920,-,394,64.213,35.787,3.0
-1,NC_072423.2,101863732,101863890,-,158,71.519,28.481,3.66666666666667
-2,NC_072423.2,101865858,101866022,-,164,67.073,32.927,3.57142857142857
-1,NC_072423.2,101866192,101866261,-,69,73.913,26.087,3.38095238095238
-3,NC_072423.2,101866361,101866471,-,110,77.273,22.727,3.0
-1,NC_072423.2,101866933,101866935,-,2,50.0,50.0,3.66666666666667
-3,NC_072423.2,101867996,101868183,-,187,68.984,31.016,4.0
-2,NC_072423.2,101869020,101869211,-,191,69.11,30.89,5.0
-3,NC_072423.2,101870219,101870221,-,2,100.0,0.0,3.89473684210526
-2,NC_072423.2,101872887,101872889,-,2,50.0,50.0,3.0
-3,NC_072423.2,101874923,101874975,-,52,82.692,17.308,6.23076923076923
-2,NC_072423.2,101914242,101914755,-,513,83.821,16.179,4.0
2,NC_072423.2,101995930,101996140,+,210,81.905,18.095,3.75
3,NC_072423.2,102008834,102008960,+,126,57.937,42.063,3.0
3,NC_072423.2,102013436,102013658,+,222,56.306,43.694,3.0
2,NC_072423.2,102014677,102014923,+,246,65.041,34.959,3.0
1,NC_072423.2,102016579,102016662,+,83,69.88,30.12,3.0
-1,NC_072423.2,102042745,102042747,-,2,50.0,50.0,3.5
-3,NC_072423.2,102042809,102043082,-,273,64.469,35.531,4.0
-2,NC_072423.2,102044130,102044143,-,13,61.538,38.462,3.33333333333333
-2,NC_072423.2,102044640,102044848,-,208,65.865,34.135,3.28571428571429
-2,NC_072423.2,102044904,102045021,-,117,74.359,25.641,3.5
-1,NC_072423.2,102045163,102045514,-,351,64.103,35.897,3.0
-2,NC_072423.2,102045744,102045955,-,211,68.246,31.754,3.33333333333333
-2,NC_072423.2,102046233,102046455,-,222,68.018,31.982,4.0
-3,NC_072423.2,102046997,102046999,-,2,100.0,0.0,3.0
-2,NC_072423.2,102047205,102047250,-,45,75.556,24.444,3.0
-2,NC_072423.2,102047532,102047534,-,2,50.0,50.0,3.0
-1,NC_072423.2,102047833,102047920,-,87,70.115,29.885,3.77777777777778
-1,NC_072423.2,102048373,102048449,-,76,68.421,31.579,4.05
-3,NC_072423.2,102049544,102049805,-,261,63.602,36.398,4.0
-1,NC_072423.2,102050164,102050261,-,97,72.165,27.835,4.0
-1,NC_072423.2,102061414,102061504,-,90,64.444,35.556,6.0
-2,NC_072423.2,102061770,102061791,-,21,66.667,33.333,4.45454545454545
-3,NC_072423.2,102061934,102061936,-,2,100.0,0.0,3.0
-2,NC_072423.2,102062040,102062313,-,273,62.637,37.363,3.0
-2,NC_072423.2,102062757,102062850,-,93,69.892,30.108,3.75
-1,NC_072423.2,102064564,102065321,-,757,66.05,33.95,3.66666666666667
-3,NC_072423.2,102064622,102064728,-,106,65.094,34.906,3.41666666666667
-1,NC_072423.2,102066100,102066419,-,319,64.577,35.423,4.0
-2,NC_072423.2,102066165,102066229,-,64,70.312,29.688,4.6
-3,NC_072423.2,102066944,102067015,-,71,80.282,19.718,3.4
-3,NC_072423.2,102067226,102067386,-,160,68.125,31.875,6.15789473684211
-2,NC_072423.2,102067749,102067902,-,153,81.699,18.301,3.28571428571429
-3,NC_072423.2,102068480,102068482,-,2,100.0,0.0,3.0
-1,NC_072423.2,102068740,102068980,-,240,67.083,32.917,3.66666666666667
-2,NC_072423.2,102069135,102069208,-,73,73.973,26.027,3.71428571428571
-1,NC_072423.2,102069415,102069592,-,177,67.797,32.203,3.0
-1,NC_072423.2,102070249,102070261,-,12,75.0,25.0,3.0
-3,NC_072423.2,102070574,102070817,-,243,65.844,34.156,4.33333333333333
-3,NC_072423.2,102071228,102071493,-,265,70.943,29.057,4.16666666666667
-1,NC_072423.2,102071839,102071951,-,112,67.857,32.143,6.4
-2,NC_072423.2,102071919,102072744,-,825,66.061,33.939,4.0
-1,NC_072423.2,102072229,102072237,-,8,25.0,75.0,3.0
-2,NC_072423.2,102073014,102073275,-,261,72.031,27.969,4.5
-3,NC_072423.2,102074792,102075048,-,256,65.625,34.375,3.81081081081081
-2,NC_072423.2,102075315,102075317,-,2,100.0,0.0,4.07142857142857
-2,NC_072423.2,102075705,102075912,-,207,66.667,33.333,3.0
-1,NC_072423.2,102076303,102076453,-,150,68.667,31.333,6.0
-1,NC_072423.2,102078844,102079195,-,351,66.952,33.048,4.66666666666667
2,NC_072423.2,102209810,102209818,+,8,62.5,37.5,8.63636363636364
2,NC_072423.2,102211673,102211750,+,77,62.338,37.662,3.0
1,NC_072423.2,102215182,102215277,+,95,65.263,34.737,3.28571428571429
1,NC_072423.2,102219008,102219009,+,1,100.0,0.0,3.0
3,NC_072423.2,102220839,102221099,+,260,58.077,41.923,3.63636363636364
2,NC_072423.2,102224372,102224386,+,14,57.143,42.857,4.88888888888889
2,NC_072423.2,102227358,102227359,+,1,100.0,0.0,3.57142857142857
1,NC_072423.2,102228204,102228261,+,57,64.912,35.088,5.0
3,NC_072423.2,102237527,102237773,+,246,58.13,41.87,3.4
1,NC_072423.2,102275374,102275466,+,92,53.261,46.739,3.25
3,NC_072423.2,102277695,102277943,+,248,58.468,41.532,3.62962962962963
2,NC_072423.2,102294852,102294853,+,1,100.0,0.0,4.0
2,NC_072423.2,102294852,102294853,+,1,100.0,0.0,3.0
1,NC_072423.2,102297330,102297411,+,81,66.667,33.333,5.47058823529412
2,NC_072423.2,102330641,102330694,+,53,50.943,49.057,3.0
2,NC_072423.2,102331227,102331297,+,70,64.286,35.714,3.0
3,NC_072423.2,102331593,102331661,+,68,51.471,48.529,3.0
2,NC_072423.2,102332141,102332251,+,110,49.091,50.909,5.75
2,NC_072423.2,102333884,102333943,+,59,64.407,35.593,4.25
1,NC_072423.2,102334326,102334548,+,222,55.856,44.144,5.3
1,NC_072423.2,102335108,102335127,+,19,68.421,31.579,3.35714285714286
1,NC_072423.2,102336783,102336942,+,159,64.151,35.849,3.57894736842105
2,NC_072423.2,102339552,102339553,+,1,100.0,0.0,3.66666666666667
1,NC_072423.2,102341609,102341610,+,1,100.0,0.0,5.0
2,NC_072423.2,102343549,102343687,+,138,58.696,41.304,3.0
2,NC_072423.2,102348864,102348865,+,1,100.0,0.0,3.5
2,NC_072423.2,102357403,102357424,+,21,38.095,61.905,3.44
-1,NC_072423.2,102366802,102366890,-,88,35.227,64.773,3.25
3,NC_072423.2,102435239,102435443,+,204,68.137,31.863,3.5
1,NC_072423.2,102435102,102435198,+,96,67.708,32.292,3.71428571428571
3,NC_072423.2,102436988,102437135,+,147,38.776,61.224,3.63636363636364
2,NC_072423.2,102437134,102437278,+,144,41.667,58.333,4.0
3,NC_072423.2,102437273,102437579,+,306,48.693,51.307,4.66666666666667
3,NC_072423.2,102438210,102438245,+,35,42.857,57.143,4.5
3,NC_072423.2,102438024,102438245,+,221,51.584,48.416,3.75
3,NC_072423.2,102438210,102438245,+,35,42.857,57.143,5.0
1,NC_072423.2,102438739,102438771,+,32,18.75,81.25,5.0
3,NC_072423.2,102439166,102439238,+,72,37.5,62.5,4.21428571428571
2,NC_072423.2,102440396,102440422,+,26,30.769,69.231,4.25
-1,NC_072423.2,102445372,102445374,-,2,100.0,0.0,3.0
-1,NC_072423.2,102456502,102456505,-,3,66.667,33.333,3.0
-1,NC_072423.2,102456502,102456505,-,3,66.667,33.333,3.25
-2,NC_072423.2,102459300,102459312,-,12,41.667,58.333,4.38095238095238
-3,NC_072423.2,102459818,102459858,-,40,50.0,50.0,3.33333333333333
-1,NC_072423.2,102460468,102460475,-,7,28.571,71.429,3.0
-3,NC_072423.2,102465578,102465609,-,31,29.032,70.968,5.0
-3,NC_072423.2,102470222,102470224,-,2,100.0,0.0,3.0
-2,NC_072423.2,102471747,102471876,-,129,52.713,47.287,3.5
-3,NC_072423.2,102472388,102472398,-,10,40.0,60.0,4.0
-2,NC_072423.2,102473823,102473842,-,19,36.842,63.158,3.71428571428571
-3,NC_072423.2,102474440,102474498,-,58,39.655,60.345,4.25
-3,NC_072423.2,102478022,102478086,-,64,37.5,62.5,5.66666666666667
-3,NC_072423.2,102478703,102478710,-,7,57.143,42.857,5.83333333333333
-1,NC_072423.2,102479233,102479260,-,27,51.852,48.148,4.5
-2,NC_072423.2,102487812,102487830,-,18,50.0,50.0,4.66666666666667
-1,NC_072423.2,102507496,102507515,-,19,26.316,73.684,4.11111111111111
-3,NC_072423.2,102511043,102511074,-,31,22.581,77.419,3.0
-3,NC_072423.2,102542366,102542820,-,454,74.67,25.33,3.73684210526316
-2,NC_072423.2,102561087,102561127,-,40,40.0,60.0,4.0
-2,NC_072423.2,102561498,102561545,-,47,44.681,55.319,3.22222222222222
-3,NC_072423.2,102567401,102567423,-,22,40.909,59.091,3.0
-1,NC_072423.2,102567616,102567618,-,2,50.0,50.0,4.0
-2,NC_072423.2,102587292,102587462,-,170,48.824,51.176,3.83333333333333
-3,NC_072423.2,102588848,102588858,-,10,70.0,30.0,3.0
-3,NC_072423.2,102588848,102588984,-,136,53.676,46.324,3.0
-3,NC_072423.2,102591350,102591414,-,64,57.812,42.188,4.0
-3,NC_072423.2,102591722,102591728,-,6,50.0,50.0,3.75
-1,NC_072423.2,102601933,102602111,-,178,53.371,46.629,3.33333333333333
-2,NC_072423.2,102605838,102605847,-,9,33.333,66.667,3.0
-3,NC_072423.2,102607406,102607464,-,58,53.448,46.552,3.625
-3,NC_072423.2,102609398,102609483,-,85,48.235,51.765,4.17241379310345
-2,NC_072423.2,102620439,102620441,-,2,100.0,0.0,6.6
3,NC_072423.2,102667163,102667229,+,66,57.576,42.424,4.84
3,NC_072423.2,102674275,102674276,+,1,100.0,0.0,3.5
1,NC_072423.2,102677009,102677010,+,1,100.0,0.0,3.0
2,NC_072423.2,102677711,102677773,+,62,61.29,38.71,3.0
