frame,chromosome,shadow_start,shadow_end,strand,sequence_length,GC_percent,AT_percent
3,NC_073224.2,100281068,100281128,+,60,48.333,51.667
3,NC_073224.2,100281305,100281419,+,114,51.754,48.246
2,NC_073224.2,100281476,100281571,+,95,63.158,36.842
1,NC_073224.2,100284744,100284939,+,195,49.744,50.256
2,NC_073224.2,100285615,100285786,+,171,49.123,50.877
2,NC_073224.2,100286079,100286080,+,1,100.0,0.0
3,NC_073224.2,100286644,100286645,+,1,100.0,0.0
3,NC_073224.2,100288255,100288331,+,76,63.158,36.842
2,NC_073224.2,100290265,100290457,+,192,52.604,47.396
2,NC_073224.2,100290927,100290976,+,49,53.061,46.939
1,NC_073224.2,100291419,100291428,+,9,77.778,22.222
2,NC_073224.2,100291655,100291669,+,14,57.143,42.857
3,NC_073224.2,100292446,100292447,+,1,100.0,0.0
2,NC_073224.2,100294267,100294618,+,351,58.974,41.026
1,NC_073224.2,100295319,100295547,+,228,47.368,52.632
3,NC_073224.2,100296508,100296509,+,1,100.0,0.0
2,NC_073224.2,100296915,100297039,+,124,57.258,42.742
3,NC_073224.2,100297472,100297661,+,189,58.201,41.799
2,NC_073224.2,100343992,100344004,+,12,58.333,41.667
3,NC_073224.2,100344794,100344974,+,180,57.222,42.778
3,NC_073224.2,100346417,100346498,+,81,65.432,34.568
3,NC_073224.2,100347651,100347911,+,260,53.462,46.538
2,NC_073224.2,100347947,100348030,+,83,65.06,34.94
3,NC_073224.2,100350230,100350302,+,72,61.111,38.889
2,NC_073224.2,100350748,100350781,+,33,51.515,48.485
2,NC_073224.2,100352132,100352185,+,53,56.604,43.396
1,NC_073224.2,100358873,100358874,+,1,100.0,0.0
3,NC_073224.2,100359659,100359665,+,6,50.0,50.0
2,NC_073224.2,100397624,100397644,+,20,35.0,65.0
3,NC_073224.2,100398275,100398323,+,48,62.5,37.5
2,NC_073224.2,100400838,100401223,+,385,49.091,50.909
1,NC_073224.2,100412994,100413075,+,81,51.852,48.148
3,NC_073224.2,100414239,100414652,+,413,54.237,45.763
-3,NC_073224.2,10041965,10041967,-,2,100.0,0.0
-2,NC_073224.2,100484604,100484628,-,24,50.0,50.0
-3,NC_073224.2,100489463,100489526,-,63,55.556,44.444
-3,NC_073224.2,100489463,100489526,-,63,55.556,44.444
-3,NC_073224.2,100490657,100490711,-,54,55.556,44.444
1,NC_073224.2,100491160,100491381,+,221,52.941,47.059
1,NC_073224.2,100493502,100493565,+,63,38.095,61.905
2,NC_073224.2,100494460,100494580,+,120,34.167,65.833
2,NC_073224.2,100494460,100494580,+,120,34.167,65.833
1,NC_073224.2,100494615,100494693,+,78,33.333,66.667
3,NC_073224.2,100495779,100495799,+,20,40.0,60.0
1,NC_073224.2,100502723,100502742,+,19,47.368,52.632
1,NC_073224.2,100506867,100506912,+,45,28.889,71.111
2,NC_073224.2,100508839,100508881,+,42,40.476,59.524
1,NC_073224.2,100510294,100510326,+,32,40.625,59.375
3,NC_073224.2,100510543,100510544,+,1,100.0,0.0
1,NC_073224.2,100515663,100515696,+,33,48.485,51.515
3,NC_073224.2,100516751,100516877,+,126,41.27,58.73
2,NC_073224.2,100517143,100517191,+,48,29.167,70.833
2,NC_073224.2,100532326,100532350,+,24,70.833,29.167
2,NC_073224.2,100533091,100533184,+,93,51.613,48.387
3,NC_073224.2,100533485,100533521,+,36,47.222,52.778
2,NC_073224.2,100533832,100533892,+,60,58.333,41.667
2,NC_073224.2,100534530,100534531,+,1,100.0,0.0
-2,NC_073224.2,100541709,100541711,-,2,100.0,0.0
-3,NC_073224.2,100542110,100542203,-,93,61.29,38.71
1,NC_073224.2,100545578,100545579,+,1,100.0,0.0
3,NC_073224.2,100549243,100549244,+,1,100.0,0.0
2,NC_073224.2,100550257,100550395,+,138,55.072,44.928
1,NC_073224.2,100551097,100551204,+,107,53.271,46.729
3,NC_073224.2,100553598,100553702,+,104,47.115,52.885
2,NC_073224.2,100554845,100554997,+,152,46.711,53.289
2,NC_073224.2,100555893,100555894,+,1,100.0,0.0
3,NC_073224.2,100559908,100559909,+,1,100.0,0.0
1,NC_073224.2,100560083,100560084,+,1,100.0,0.0
2,NC_073224.2,100560728,100560907,+,179,51.397,48.603
1,NC_073224.2,100561666,100561806,+,140,57.857,42.143
2,NC_073224.2,100562426,100562566,+,140,53.571,46.429
2,NC_073224.2,100564846,100564918,+,72,62.5,37.5
3,NC_073224.2,100566942,100566995,+,53,56.604,43.396
1,NC_073224.2,100567824,100567980,+,156,53.205,46.795
1,NC_073224.2,100569270,100569429,+,159,62.264,37.736
2,NC_073224.2,100574794,100574878,+,84,53.571,46.429
3,NC_073224.2,100575324,100575479,+,155,41.935,58.065
3,NC_073224.2,100575829,100575830,+,1,100.0,0.0
3,NC_073224.2,100576840,100576841,+,1,100.0,0.0
2,NC_073224.2,100577386,100577398,+,12,66.667,33.333
1,NC_073224.2,100581564,100581582,+,18,72.222,27.778
2,NC_073224.2,100582122,100582123,+,1,100.0,0.0
2,NC_073224.2,100582122,100582123,+,1,100.0,0.0
3,NC_073224.2,100582710,100582910,+,200,57.0,43.0
2,NC_073224.2,100582463,100582534,+,71,80.282,19.718
2,NC_073224.2,100582710,100582813,+,103,64.078,35.922
1,NC_073224.2,100583100,100583145,+,45,66.667,33.333
2,NC_073224.2,100583100,100583101,+,1,100.0,0.0
3,NC_073224.2,100583552,100583615,+,63,47.619,52.381
3,NC_073224.2,100583481,100583615,+,134,57.463,42.537
3,NC_073224.2,100583552,100583615,+,63,47.619,52.381
-1,NC_073224.2,100585408,100585410,-,2,100.0,0.0
-2,NC_073224.2,100585449,100585650,-,201,63.184,36.816
-3,NC_073224.2,100585835,100585943,-,108,63.889,36.111
-1,NC_073224.2,100591588,100591752,-,164,57.927,42.073
-3,NC_073224.2,100591715,100591752,-,37,59.459,40.541
-3,NC_073224.2,100594190,100594192,-,2,100.0,0.0
-1,NC_073224.2,100595464,100595495,-,31,67.742,32.258
-3,NC_073224.2,100602092,100602219,-,127,41.732,58.268
-1,NC_073224.2,100604314,100604316,-,2,100.0,0.0
-2,NC_073224.2,100613871,100613873,-,2,100.0,0.0
-1,NC_073224.2,100618969,100619021,-,52,53.846,46.154
-1,NC_073224.2,100618969,100619021,-,52,53.846,46.154
-1,NC_073224.2,100626409,100626565,-,156,47.436,52.564
-1,NC_073224.2,100626409,100626565,-,156,47.436,52.564
-1,NC_073224.2,100650484,100650634,-,150,57.333,42.667
-1,NC_073224.2,100651045,100651047,-,2,50.0,50.0
-3,NC_073224.2,100651148,100651350,-,202,61.386,38.614
-3,NC_073224.2,100651148,100651443,-,295,60.678,39.322
-2,NC_073224.2,100653276,100653282,-,6,50.0,50.0
-2,NC_073224.2,100663122,100663195,-,73,45.205,54.795
-2,NC_073224.2,100664772,100664774,-,2,100.0,0.0
-3,NC_073224.2,100665242,100665270,-,28,92.857,7.143
-2,NC_073224.2,100665705,100665738,-,33,66.667,33.333
-3,NC_073224.2,100667357,100667465,-,108,44.444,55.556
-3,NC_073224.2,100667357,100667465,-,108,44.444,55.556
-2,NC_073224.2,100667499,100667803,-,304,55.592,44.408
-2,NC_073224.2,100667991,100668157,-,166,56.627,43.373
-2,NC_073224.2,100669677,100669714,-,37,59.459,40.541
-3,NC_073224.2,100671302,100671572,-,270,52.963,47.037
-3,NC_073224.2,100687199,100687201,-,2,50.0,50.0
-2,NC_073224.2,100687482,100687546,-,64,56.25,43.75
-2,NC_073224.2,100688541,100688560,-,19,73.684,26.316
-1,NC_073224.2,100689025,100689074,-,49,65.306,34.694
-1,NC_073224.2,100689217,100689278,-,61,68.852,31.148
-3,NC_073224.2,100689755,100689870,-,115,58.261,41.739
-1,NC_073224.2,100690126,100690185,-,59,67.797,32.203
-1,NC_073224.2,100690126,100690185,-,59,67.797,32.203
-3,NC_073224.2,100690982,100690984,-,2,100.0,0.0
-1,NC_073224.2,100691188,100691321,-,133,64.662,35.338
-1,NC_073224.2,100691656,100691768,-,112,65.179,34.821
-2,NC_073224.2,100695378,100695508,-,130,60.0,40.0
-2,NC_073224.2,100711041,100711043,-,2,100.0,0.0
2,NC_073224.2,100744706,100744843,+,137,66.423,33.577
-3,NC_073224.2,100756508,100756511,-,3,66.667,33.333
-2,NC_073224.2,100757592,100757796,-,204,62.255,37.745
-2,NC_073224.2,100760151,100760153,-,2,100.0,0.0
-3,NC_073224.2,100764779,100764812,-,33,57.576,42.424
-1,NC_073224.2,100768090,100768175,-,85,58.824,41.176
-2,NC_073224.2,100770678,100770817,-,139,58.993,41.007
-1,NC_073224.2,100771282,100771284,-,2,50.0,50.0
2,NC_073224.2,100772662,100772815,+,153,73.856,26.144
1,NC_073224.2,100774556,100774557,+,1,100.0,0.0
1,NC_073224.2,100775152,100775316,+,164,52.439,47.561
1,NC_073224.2,100775991,100776072,+,81,59.259,40.741
1,NC_073224.2,100777782,100777887,+,105,60.952,39.048
1,NC_073224.2,100782289,100782297,+,8,50.0,50.0
3,NC_073224.2,100783484,100783664,+,180,48.333,51.667
3,NC_073224.2,100784105,100784147,+,42,59.524,40.476
3,NC_073224.2,100784386,100784387,+,1,100.0,0.0
2,NC_073224.2,100784773,100784923,+,150,56.0,44.0
1,NC_073224.2,100807461,100807476,+,15,66.667,33.333
3,NC_073224.2,100808341,100808342,+,1,100.0,0.0
3,NC_073224.2,100810084,100810103,+,19,52.632,47.368
1,NC_073224.2,100813398,100813416,+,18,50.0,50.0
2,NC_073224.2,100816555,100816594,+,39,41.026,58.974
1,NC_073224.2,100839023,100839024,+,1,100.0,0.0
2,NC_073224.2,100840630,100840651,+,21,57.143,42.857
1,NC_073224.2,100846051,100846062,+,11,45.455,54.545
1,NC_073224.2,100846051,100846062,+,11,45.455,54.545
1,NC_073224.2,100846970,100846971,+,1,100.0,0.0
3,NC_073224.2,100848257,100848356,+,99,62.626,37.374
3,NC_073224.2,100848257,100848356,+,99,62.626,37.374
3,NC_073224.2,100853000,100853573,+,573,68.586,31.414
1,NC_073224.2,100861845,100861920,+,75,69.333,30.667
3,NC_073224.2,100862223,100862240,+,17,47.059,52.941
3,NC_073224.2,100862223,100862240,+,17,47.059,52.941
1,NC_073224.2,100862223,100862307,+,84,50.0,50.0
2,NC_073224.2,100864555,100864711,+,156,62.179,37.821
3,NC_073224.2,100864959,100864964,+,5,60.0,40.0
2,NC_073224.2,100865739,100865740,+,1,100.0,0.0
1,NC_073224.2,100866067,100866138,+,71,67.606,32.394
3,NC_073224.2,100866381,100866398,+,17,58.824,41.176
3,NC_073224.2,100866381,100866398,+,17,58.824,41.176
1,NC_073224.2,100868415,100868439,+,24,66.667,33.333
2,NC_073224.2,100868755,100868818,+,63,61.905,38.095
3,NC_073224.2,100869243,100869248,+,5,60.0,40.0
2,NC_073224.2,100869683,100869703,+,20,65.0,35.0
3,NC_073224.2,100873028,100873169,+,141,42.553,57.447
1,NC_073224.2,100873631,100873632,+,1,100.0,0.0
1,NC_073224.2,100875388,100875423,+,35,42.857,57.143
3,NC_073224.2,100877673,100877735,+,62,56.452,43.548
2,NC_073224.2,100878185,100878211,+,26,65.385,34.615
2,NC_073224.2,100878382,100878589,+,207,54.106,45.894
3,NC_073224.2,100878560,100878581,+,21,42.857,57.143
3,NC_073224.2,100878818,100878836,+,18,55.556,44.444
3,NC_073224.2,100879472,100879652,+,180,48.889,51.111
1,NC_073224.2,100880032,100880088,+,56,60.714,39.286
1,NC_073224.2,100880002,100880088,+,86,61.628,38.372
3,NC_073224.2,100897729,100897823,+,94,68.085,31.915
3,NC_073224.2,100898432,100898558,+,126,51.587,48.413
1,NC_073224.2,100902354,100902366,+,12,58.333,41.667
1,NC_073224.2,100902770,100902846,+,76,40.789,59.211
3,NC_073224.2,100904943,100904948,+,5,40.0,60.0
1,NC_073224.2,100905372,100905414,+,42,33.333,66.667
1,NC_073224.2,100906415,100906476,+,61,47.541,52.459
1,NC_073224.2,100908432,100908531,+,99,37.374,62.626
1,NC_073224.2,100909918,100909983,+,65,32.308,67.692
2,NC_073224.2,100910404,100910563,+,159,38.994,61.006
1,NC_073224.2,100914762,100914768,+,6,16.667,83.333
2,NC_073224.2,100915635,100915636,+,1,100.0,0.0
3,NC_073224.2,100915635,100915646,+,11,36.364,63.636
2,NC_073224.2,100916390,100916485,+,95,54.737,45.263
3,NC_073224.2,100921528,100921529,+,1,100.0,0.0
1,NC_073224.2,100921750,100921755,+,5,60.0,40.0
1,NC_073224.2,100921750,100921755,+,5,60.0,40.0
3,NC_073224.2,100921956,100922006,+,50,32.0,68.0
3,NC_073224.2,100927655,100927676,+,21,28.571,71.429
3,NC_073224.2,100928075,100928117,+,42,28.571,71.429
-1,NC_073224.2,10094869,10094927,-,58,58.621,41.379
-3,NC_073224.2,100951745,100951874,-,129,47.287,52.713
-3,NC_073224.2,100951745,100951871,-,126,46.825,53.175
-2,NC_073224.2,100963584,100963720,-,136,52.206,47.794
-2,NC_073224.2,100972665,100972671,-,6,50.0,50.0
3,NC_073224.2,100979232,100979378,+,146,41.096,58.904
1,NC_073224.2,101005921,101005941,+,20,30.0,70.0
1,NC_073224.2,101005921,101005941,+,20,30.0,70.0
2,NC_073224.2,101010592,101010616,+,24,58.333,41.667
1,NC_073224.2,101011404,101011413,+,9,44.444,55.556
1,NC_073224.2,101011404,101011413,+,9,44.444,55.556
1,NC_073224.2,101012268,101012325,+,57,26.316,73.684
1,NC_073224.2,101016663,101016723,+,60,30.0,70.0
1,NC_073224.2,101017071,101017083,+,12,41.667,58.333
1,NC_073224.2,101018541,101018583,+,42,35.714,64.286
2,NC_073224.2,101019235,101019259,+,24,25.0,75.0
2,NC_073224.2,101028134,101028208,+,74,27.027,72.973
3,NC_073224.2,101038014,101038085,+,71,38.028,61.972
3,NC_073224.2,101047709,101047871,+,162,43.21,56.79
2,NC_073224.2,101049045,101049046,+,1,100.0,0.0
3,NC_073224.2,101055437,101055494,+,57,19.298,80.702
3,NC_073224.2,101056679,101056718,+,39,33.333,66.667
3,NC_073224.2,101058075,101058098,+,23,47.826,52.174
2,NC_073224.2,101060016,101060017,+,1,100.0,0.0
1,NC_073224.2,101062023,101062146,+,123,39.837,60.163
2,NC_073224.2,101065645,101065720,+,75,48.0,52.0
3,NC_073224.2,101068070,101068184,+,114,39.474,60.526
2,NC_073224.2,101069750,101069950,+,200,43.5,56.5
2,NC_073224.2,101070874,101071057,+,183,40.984,59.016
1,NC_073224.2,101072622,101072649,+,27,37.037,62.963
3,NC_073224.2,101075159,101075282,+,123,48.78,51.22
3,NC_073224.2,101075870,101075873,+,3,33.333,66.667
3,NC_073224.2,101076092,101076344,+,252,46.429,53.571
3,NC_073224.2,101078681,101078756,+,75,49.333,50.667
3,NC_073224.2,101079849,101079854,+,5,60.0,40.0
1,NC_073224.2,101081093,101081094,+,1,100.0,0.0
1,NC_073224.2,101081286,101081409,+,123,43.902,56.098
-3,NC_073224.2,101095919,101096003,-,84,44.048,55.952
-2,NC_073224.2,101100846,101100904,-,58,29.31,70.69
-3,NC_073224.2,101101469,101101521,-,52,30.769,69.231
-3,NC_073224.2,101103539,101103573,-,34,44.118,55.882
-2,NC_073224.2,101103813,101103817,-,4,50.0,50.0
-1,NC_073224.2,101105173,101105201,-,28,53.571,46.429
-2,NC_073224.2,101106849,101106921,-,72,41.667,58.333
-3,NC_073224.2,101107421,101107451,-,30,53.333,46.667
-1,NC_073224.2,101111284,101111354,-,70,57.143,42.857
-3,NC_073224.2,101115797,101115807,-,10,50.0,50.0
-1,NC_073224.2,101123989,101124002,-,13,61.538,38.462
1,NC_073224.2,101136101,101136102,+,1,100.0,0.0
2,NC_073224.2,101136974,101136979,+,5,60.0,40.0
3,NC_073224.2,101144621,101144777,+,156,41.026,58.974
3,NC_073224.2,101144621,101144777,+,156,41.026,58.974
1,NC_073224.2,101145632,101145633,+,1,100.0,0.0
1,NC_073224.2,101145632,101145633,+,1,100.0,0.0
2,NC_073224.2,101148487,101148532,+,45,33.333,66.667
1,NC_073224.2,101150061,101150088,+,27,33.333,66.667
3,NC_073224.2,101152200,101152223,+,23,47.826,52.174
1,NC_073224.2,101154434,101154435,+,1,100.0,0.0
1,NC_073224.2,101156127,101156256,+,129,36.434,63.566
1,NC_073224.2,101156127,101156256,+,129,36.434,63.566
3,NC_073224.2,101163401,101163476,+,75,48.0,52.0
1,NC_073224.2,101173820,101173821,+,1,100.0,0.0
1,NC_073224.2,101174778,101174892,+,114,35.965,64.035
1,NC_073224.2,101176192,101176386,+,194,44.33,55.67
2,NC_073224.2,101187266,101187271,+,5,60.0,40.0
3,NC_073224.2,101201536,101201537,+,1,100.0,0.0
3,NC_073224.2,101201729,101201852,+,123,43.902,56.098
-1,NC_073224.2,101203855,101203894,-,39,56.41,43.59
-1,NC_073224.2,101203855,101203861,-,6,50.0,50.0
-1,NC_073224.2,101204053,101204061,-,8,62.5,37.5
-2,NC_073224.2,101204394,101204397,-,3,66.667,33.333
-2,NC_073224.2,101204394,101204396,-,2,100.0,0.0
-1,NC_073224.2,101204650,101204654,-,4,50.0,50.0
-1,NC_073224.2,101204968,101205059,-,91,57.143,42.857
-3,NC_073224.2,101205698,101205802,-,104,59.615,40.385
-3,NC_073224.2,101205698,101205802,-,104,59.615,40.385
-2,NC_073224.2,101205987,101206026,-,39,53.846,46.154
-3,NC_073224.2,101206259,101206338,-,79,55.696,44.304
-1,NC_073224.2,101206348,101206521,-,173,46.243,53.757
-1,NC_073224.2,101206969,101207083,-,114,58.772,41.228
-1,NC_073224.2,101206969,101207083,-,114,58.772,41.228
-2,NC_073224.2,101207088,101207311,-,223,67.713,32.287
-3,NC_073224.2,101228282,101228295,-,13,61.538,38.462
1,NC_073224.2,101296044,101296095,+,51,29.412,70.588
3,NC_073224.2,101342562,101342594,+,32,31.25,68.75
1,NC_073224.2,101360773,101360775,+,2,100.0,0.0
2,NC_073224.2,101382717,101382718,+,1,100.0,0.0
2,NC_073224.2,101405343,101405344,+,1,100.0,0.0
1,NC_073224.2,101424508,101424537,+,29,41.379,58.621
1,NC_073224.2,101439966,101439999,+,33,42.424,57.576
1,NC_073224.2,101441506,101441511,+,5,60.0,40.0
3,NC_073224.2,101441728,101441765,+,37,37.838,62.162
2,NC_073224.2,101449182,101449195,+,13,38.462,61.538
2,NC_073224.2,101449455,101449456,+,1,100.0,0.0
1,NC_073224.2,101459670,101459730,+,60,33.333,66.667
3,NC_073224.2,101462384,101462423,+,39,33.333,66.667
3,NC_073224.2,101462653,101462654,+,1,100.0,0.0
1,NC_073224.2,101465470,101465502,+,32,25.0,75.0
2,NC_073224.2,101467253,101467321,+,68,20.588,79.412
2,NC_073224.2,101470275,101470276,+,1,100.0,0.0
3,NC_073224.2,101470490,101470541,+,51,31.373,68.627
1,NC_073224.2,101472144,101472159,+,15,53.333,46.667
3,NC_073224.2,101473415,101473421,+,6,50.0,50.0
3,NC_073224.2,101475600,101475635,+,35,45.714,54.286
2,NC_073224.2,101476179,101476231,+,52,57.692,42.308
2,NC_073224.2,101476469,101476474,+,5,40.0,60.0
3,NC_073224.2,101477846,101477909,+,63,38.095,61.905
1,NC_073224.2,101480456,101480457,+,1,100.0,0.0
2,NC_073224.2,101481695,101481718,+,23,34.783,65.217
2,NC_073224.2,101481695,101481718,+,23,34.783,65.217
-3,NC_073224.2,101491565,101491567,-,2,100.0,0.0
-2,NC_073224.2,101492709,101492711,-,2,100.0,0.0
-1,NC_073224.2,101493916,101493934,-,18,55.556,44.444
-2,NC_073224.2,101494170,101494172,-,2,50.0,50.0
-1,NC_073224.2,101494246,101494354,-,108,70.37,29.63
-1,NC_073224.2,101494624,101494655,-,31,67.742,32.258
-2,NC_073224.2,101494878,101494890,-,12,75.0,25.0
-2,NC_073224.2,101494878,101494890,-,12,75.0,25.0
-2,NC_073224.2,101495022,101495289,-,267,68.165,31.835
-3,NC_073224.2,101496002,101496020,-,18,72.222,27.778
-2,NC_073224.2,101496141,101496702,-,561,69.875,30.125
-1,NC_073224.2,101500873,101500907,-,34,64.706,35.294
-3,NC_073224.2,101501090,101501092,-,2,100.0,0.0
-2,NC_073224.2,101501511,101501554,-,43,62.791,37.209
-2,NC_073224.2,101501805,101501824,-,19,47.368,52.632
-3,NC_073224.2,101507426,101507472,-,46,54.348,45.652
-3,NC_073224.2,101509649,101509662,-,13,53.846,46.154
-3,NC_073224.2,101509649,101509662,-,13,53.846,46.154
-1,NC_073224.2,101509900,101509902,-,2,100.0,0.0
1,NC_073224.2,101519011,101519076,+,65,58.462,41.538
1,NC_073224.2,101519794,101519889,+,95,48.421,51.579
3,NC_073224.2,101524923,101525192,+,269,64.312,35.688
3,NC_073224.2,101525557,101525558,+,1,100.0,0.0
3,NC_073224.2,101525804,101526032,+,228,52.632,47.368
2,NC_073224.2,101526601,101526739,+,138,57.971,42.029
3,NC_073224.2,101526862,101526863,+,1,100.0,0.0
1,NC_073224.2,101528287,101528415,+,128,57.031,42.969
-2,NC_073224.2,101532606,101532684,-,78,61.538,38.462
-1,NC_073224.2,101533696,101534050,-,354,57.345,42.655
-3,NC_073224.2,101534684,101534703,-,19,78.947,21.053
-1,NC_073224.2,101535193,101535257,-,64,62.5,37.5
-2,NC_073224.2,101535837,101535877,-,40,60.0,40.0
-3,NC_073224.2,101536877,101536995,-,118,67.797,32.203
-1,NC_073224.2,101541829,101541978,-,149,69.799,30.201
2,NC_073224.2,101548686,101548687,+,1,100.0,0.0
1,NC_073224.2,101550006,101550066,+,60,65.0,35.0
1,NC_073224.2,101550006,101550066,+,60,65.0,35.0
1,NC_073224.2,101550787,101550813,+,26,38.462,61.538
