frame,chromosome,shadow_start,shadow_end,strand,sequence_length,GC_percent,AT_percent
3,NC_060925.1,100316122,100316123,+,1,100.0,0.0
3,NC_060925.1,100316122,100316123,+,1,100.0,0.0
2,NC_060925.1,100332481,100332493,+,12,41.667,58.333
3,NC_060925.1,100342981,100342982,+,1,100.0,0.0
3,NC_060925.1,100344100,100344110,+,10,50.0,50.0
3,NC_060925.1,100346254,100346255,+,1,100.0,0.0
1,NC_060925.1,100347309,100347423,+,114,53.509,46.491
2,NC_060925.1,10038928,10038982,+,54,38.889,61.111
2,NC_060925.1,100568321,100568353,+,32,31.25,68.75
1,NC_060925.1,100569148,100569204,+,56,25.0,75.0
1,NC_060925.1,100568962,100569204,+,242,40.496,59.504
1,NC_060925.1,100571737,100571793,+,56,46.429,53.571
1,NC_060925.1,100573288,100573293,+,5,60.0,40.0
2,NC_060925.1,100577774,100577884,+,110,29.091,70.909
3,NC_060925.1,100579911,100579940,+,29,34.483,65.517
2,NC_060925.1,100581077,100581181,+,104,30.769,69.231
1,NC_060925.1,100583161,100583352,+,191,34.555,65.445
3,NC_060925.1,10068092,10068104,+,12,41.667,58.333
-1,NC_060925.1,100725618,100725640,-,22,36.364,63.636
-1,NC_060925.1,100725618,100725640,-,22,36.364,63.636
-2,NC_060925.1,100726238,100726322,-,84,54.762,45.238
-1,NC_060925.1,100727268,100727270,-,2,50.0,50.0
-1,NC_060925.1,100737597,100737599,-,2,100.0,0.0
3,NC_060925.1,100745188,100745339,+,151,60.927,39.073
2,NC_060925.1,100745517,100745518,+,1,100.0,0.0
3,NC_060925.1,100755805,100755806,+,1,100.0,0.0
2,NC_060925.1,100759990,100759993,+,3,33.333,66.667
3,NC_060925.1,100762641,100762724,+,83,36.145,63.855
1,NC_060925.1,100766965,100766991,+,26,26.923,73.077
3,NC_060925.1,100770679,100770680,+,1,100.0,0.0
1,NC_060925.1,10079911,10080129,+,218,62.385,37.615
3,NC_060925.1,100810754,100810805,+,51,33.333,66.667
1,NC_060925.1,100814754,100814769,+,15,26.667,73.333
-1,NC_060925.1,100841418,100841469,-,51,39.216,60.784
-3,NC_060925.1,100843948,100843950,-,2,50.0,50.0
-2,NC_060925.1,100850276,100850303,-,27,40.741,59.259
-3,NC_060925.1,100862509,100862546,-,37,35.135,64.865
-3,NC_060925.1,100862509,100862546,-,37,35.135,64.865
-3,NC_060925.1,100870456,100870477,-,21,38.095,61.905
-1,NC_060925.1,100874079,100874149,-,70,48.571,51.429
-3,NC_060925.1,1008982,1008984,-,2,100.0,0.0
1,NC_060925.1,10142962,10142988,+,26,53.846,46.154
1,NC_060925.1,10142962,10142988,+,26,53.846,46.154
1,NC_060925.1,10162014,10162134,+,120,65.0,35.0
-3,NC_060925.1,101655163,101655263,-,100,34.0,66.0
3,NC_060925.1,10166718,10166726,+,8,25.0,75.0
-3,NC_060925.1,101674162,101674204,-,42,23.81,76.19
3,NC_060925.1,10168034,10168385,+,351,57.55,42.45
-1,NC_060925.1,101679696,101679862,-,166,46.988,53.012
-1,NC_060925.1,101679696,101679862,-,166,46.988,53.012
-1,NC_060925.1,101685948,101686069,-,121,38.017,61.983
-3,NC_060925.1,101695999,101696036,-,37,48.649,51.351
2,NC_060925.1,10170960,10170961,+,1,100.0,0.0
-2,NC_060925.1,101845973,101845977,-,4,50.0,50.0
-1,NC_060925.1,10185474,10185618,-,144,66.667,33.333
-2,NC_060925.1,10185653,10186454,-,801,66.042,33.958
-2,NC_060925.1,10186736,10186755,-,19,78.947,21.053
-2,NC_060925.1,10188389,10188512,-,123,69.106,30.894
-1,NC_060925.1,10189689,10189723,-,34,70.588,29.412
-3,NC_060925.1,10191394,10191396,-,2,50.0,50.0
-3,NC_060925.1,10192663,10192665,-,2,50.0,50.0
-3,NC_060925.1,10192876,10192878,-,2,100.0,0.0
-3,NC_060925.1,10194178,10194287,-,109,49.541,50.459
-1,NC_060925.1,10194534,10194536,-,2,100.0,0.0
-2,NC_060925.1,10196633,10196972,-,339,65.192,34.808
-3,NC_060925.1,10198012,10198014,-,2,100.0,0.0
-2,NC_060925.1,10199183,10199244,-,61,78.689,21.311
-1,NC_060925.1,10200108,10200241,-,133,63.91,36.09
-3,NC_060925.1,10202101,10202103,-,2,100.0,0.0
-3,NC_060925.1,10203295,10203297,-,2,50.0,50.0
-3,NC_060925.1,10208599,10208674,-,75,68.0,32.0
-3,NC_060925.1,10237384,10237465,-,81,50.617,49.383
-3,NC_060925.1,10237384,10237465,-,81,50.617,49.383
-3,NC_060925.1,10237675,10237888,-,213,83.099,16.901
-3,NC_060925.1,102730555,102730646,-,91,34.066,65.934
-2,NC_060925.1,102732119,102732144,-,25,40.0,60.0
-2,NC_060925.1,102735746,102735752,-,6,50.0,50.0
-3,NC_060925.1,102737509,102737522,-,13,23.077,76.923
-3,NC_060925.1,102738322,102738410,-,88,36.364,63.636
-2,NC_060925.1,102747593,102747624,-,31,38.71,61.29
-1,NC_060925.1,102769161,102769270,-,109,32.11,67.89
-3,NC_060925.1,102770395,102770477,-,82,24.39,75.61
-2,NC_060925.1,102783878,102784023,-,145,28.966,71.034
-2,NC_060925.1,102787958,102787998,-,40,30.0,70.0
-3,NC_060925.1,102789268,102789290,-,22,36.364,63.636
-3,NC_060925.1,102810727,102810803,-,76,35.526,64.474
-1,NC_060925.1,102819120,102819160,-,40,30.0,70.0
-2,NC_060925.1,102823625,102823779,-,154,24.026,75.974
-3,NC_060925.1,102827623,102827654,-,31,29.032,70.968
-1,NC_060925.1,102827727,102827806,-,79,35.443,64.557
-1,NC_060925.1,102836571,102836581,-,10,40.0,60.0
-3,NC_060925.1,102844765,102844811,-,46,21.739,78.261
-1,NC_060925.1,102844809,102844936,-,127,33.858,66.142
-2,NC_060925.1,102847211,102847257,-,46,28.261,71.739
-3,NC_060925.1,102851284,102851375,-,91,39.56,60.44
-2,NC_060925.1,102851681,102851694,-,13,38.462,61.538
-3,NC_060925.1,102853363,102853391,-,28,21.429,78.571
-1,NC_060925.1,102853548,102853555,-,7,42.857,57.143
-1,NC_060925.1,102854736,102854785,-,49,26.531,73.469
-2,NC_060925.1,102862205,102862215,-,10,60.0,40.0
-3,NC_060925.1,102863407,102863444,-,37,43.243,56.757
-1,NC_060925.1,102863442,102863444,-,2,100.0,0.0
-2,NC_060925.1,102870611,102870636,-,25,32.0,68.0
-2,NC_060925.1,102874676,102874728,-,52,40.385,59.615
-2,NC_060925.1,102874676,102874734,-,58,39.655,60.345
-1,NC_060925.1,102880002,102880042,-,40,50.0,50.0
-3,NC_060925.1,102923485,102923510,-,25,32.0,68.0
-2,NC_060925.1,102927548,102927550,-,2,50.0,50.0
-1,NC_060925.1,102931602,102931692,-,90,18.889,81.111
-3,NC_060925.1,102956770,102956950,-,180,46.111,53.889
2,NC_060925.1,103375204,103375270,+,66,71.212,28.788
3,NC_060925.1,103376684,103376687,+,3,33.333,66.667
2,NC_060925.1,103382799,103382812,+,13,38.462,61.538
3,NC_060925.1,103383799,103383890,+,91,27.473,72.527
1,NC_060925.1,103384383,103384422,+,39,28.205,71.795
1,NC_060925.1,103385136,103385178,+,42,28.571,71.429
3,NC_060925.1,103390417,103390418,+,1,100.0,0.0
2,NC_060925.1,103392389,103392436,+,47,29.787,70.213
1,NC_060925.1,103394044,103394058,+,14,35.714,64.286
3,NC_060925.1,103395284,103395296,+,12,25.0,75.0
3,NC_060925.1,103400015,103400048,+,33,24.242,75.758
1,NC_060925.1,103420713,103420764,+,51,33.333,66.667
3,NC_060925.1,103422881,103422947,+,66,21.212,78.788
1,NC_060925.1,103424288,103424289,+,1,100.0,0.0
3,NC_060925.1,103424483,103424552,+,69,28.986,71.014
2,NC_060925.1,103426551,103426552,+,1,100.0,0.0
2,NC_060925.1,103426788,103426789,+,1,100.0,0.0
2,NC_060925.1,103466554,103466605,+,51,39.216,60.784
3,NC_060925.1,103468730,103468781,+,51,23.529,76.471
1,NC_060925.1,103470566,103470567,+,1,100.0,0.0
2,NC_060925.1,103470760,103470793,+,33,30.303,69.697
3,NC_060925.1,103472851,103472852,+,1,100.0,0.0
3,NC_060925.1,103473088,103473089,+,1,100.0,0.0
2,NC_060925.1,103505365,103505479,+,114,36.842,63.158
2,NC_060925.1,103507537,103507552,+,15,33.333,66.667
3,NC_060925.1,103509349,103509350,+,1,100.0,0.0
1,NC_060925.1,103509543,103509612,+,69,28.986,71.014
1,NC_060925.1,103511642,103511643,+,1,100.0,0.0
3,NC_060925.1,103511878,103511879,+,1,100.0,0.0
-3,NC_060925.1,103537822,103537824,-,2,100.0,0.0
-1,NC_060925.1,103538058,103538060,-,2,100.0,0.0
-3,NC_060925.1,103540090,103540160,-,70,28.571,71.429
-2,NC_060925.1,103540352,103540354,-,2,100.0,0.0
-1,NC_060925.1,103542150,103542166,-,16,37.5,62.5
-1,NC_060925.1,103544223,103544338,-,115,37.391,62.609
-3,NC_060925.1,103576633,103576635,-,2,100.0,0.0
-3,NC_060925.1,103576870,103576872,-,2,100.0,0.0
-2,NC_060925.1,103578929,103578963,-,34,32.353,67.647
-1,NC_060925.1,103579155,103579157,-,2,100.0,0.0
-1,NC_060925.1,103580976,103581028,-,52,25.0,75.0
1,NC_060925.1,103599507,103599621,+,114,36.842,63.158
1,NC_060925.1,103601679,103601694,+,15,33.333,66.667
2,NC_060925.1,103603491,103603492,+,1,100.0,0.0
3,NC_060925.1,103603685,103603754,+,69,28.986,71.014
3,NC_060925.1,103605784,103605785,+,1,100.0,0.0
2,NC_060925.1,103606020,103606021,+,1,100.0,0.0
-1,NC_060925.1,103611060,103611079,-,19,31.579,68.421
-3,NC_060925.1,103631968,103631970,-,2,100.0,0.0
-1,NC_060925.1,103632204,103632206,-,2,100.0,0.0
-1,NC_060925.1,103634235,103634305,-,70,28.571,71.429
-1,NC_060925.1,103634496,103634498,-,2,100.0,0.0
-3,NC_060925.1,103636294,103636310,-,16,37.5,62.5
-3,NC_060925.1,103638367,103638482,-,115,37.391,62.609
1,NC_060925.1,103656963,103657014,+,51,23.529,76.471
1,NC_060925.1,103658834,103658835,+,1,100.0,0.0
2,NC_060925.1,103659028,103659061,+,33,30.303,69.697
3,NC_060925.1,103661119,103661120,+,1,100.0,0.0
3,NC_060925.1,103661356,103661357,+,1,100.0,0.0
1,NC_060925.1,103693641,103693755,+,114,36.842,63.158
1,NC_060925.1,103695813,103695828,+,15,33.333,66.667
2,NC_060925.1,103697625,103697626,+,1,100.0,0.0
3,NC_060925.1,103697819,103697888,+,69,28.986,71.014
2,NC_060925.1,103699917,103699918,+,1,100.0,0.0
1,NC_060925.1,103700153,103700154,+,1,100.0,0.0
-2,NC_060925.1,103726100,103726102,-,2,100.0,0.0
-3,NC_060925.1,103726336,103726338,-,2,100.0,0.0
-3,NC_060925.1,103728367,103728437,-,70,28.571,71.429
-3,NC_060925.1,103728628,103728630,-,2,100.0,0.0
-2,NC_060925.1,103730426,103730442,-,16,37.5,62.5
-2,NC_060925.1,103732499,103732614,-,115,37.391,62.609
2,NC_060925.1,103787776,103787890,+,114,36.842,63.158
2,NC_060925.1,103789948,103789963,+,15,33.333,66.667
3,NC_060925.1,103791760,103791761,+,1,100.0,0.0
3,NC_060925.1,103791953,103792022,+,69,28.986,71.014
3,NC_060925.1,103794052,103794053,+,1,100.0,0.0
2,NC_060925.1,103794288,103794289,+,1,100.0,0.0
-2,NC_060925.1,10488770,10488879,-,109,51.376,48.624
-2,NC_060925.1,10488770,10488945,-,175,52.0,48.0
-2,NC_060925.1,10488770,10489023,-,253,56.522,43.478
-1,NC_060925.1,10493334,10493340,-,6,66.667,33.333
-3,NC_060925.1,10494148,10494311,-,163,57.669,42.331
-2,NC_060925.1,10496324,10496345,-,21,66.667,33.333
-1,NC_060925.1,10496880,10496938,-,58,68.966,31.034
-1,NC_060925.1,10498020,10498036,-,16,68.75,31.25
1,NC_060925.1,1050587,1050675,+,88,73.864,26.136
1,NC_060925.1,1050138,1050675,+,537,78.212,21.788
-2,NC_060925.1,10503296,10503450,-,154,62.987,37.013
-2,NC_060925.1,10503296,10503450,-,154,62.987,37.013
-2,NC_060925.1,10504796,10504902,-,106,50.943,49.057
-1,NC_060925.1,10505604,10505680,-,76,36.842,63.158
2,NC_060925.1,1051119,1051120,+,1,100.0,0.0
-3,NC_060925.1,10509133,10509292,-,159,61.635,38.365
3,NC_060925.1,1051119,1051214,+,95,57.895,42.105
-2,NC_060925.1,10517300,10517381,-,81,46.914,53.086
-1,NC_060925.1,10523235,10523237,-,2,100.0,0.0
2,NC_060925.1,10555223,10555291,+,68,39.706,60.294
2,NC_060925.1,10558267,10558309,+,42,33.333,66.667
1,NC_060925.1,10561872,10562016,+,144,55.556,44.444
-2,NC_060925.1,10571423,10571453,-,30,36.667,63.333
-3,NC_060925.1,10571980,10572025,-,45,44.444,55.556
2,NC_060925.1,1057539,1057540,+,1,100.0,0.0
1,NC_060925.1,1058450,1058451,+,1,100.0,0.0
1,NC_060925.1,1058450,1058451,+,1,100.0,0.0
2,NC_060925.1,1058204,1058584,+,380,69.474,30.526
2,NC_060925.1,1058204,1058584,+,380,69.474,30.526
2,NC_060925.1,1058204,1058584,+,380,69.474,30.526
3,NC_060925.1,1058184,1058258,+,74,75.676,24.324
3,NC_060925.1,1058184,1058258,+,74,75.676,24.324
-1,NC_060925.1,10578960,10578967,-,7,42.857,57.143
-2,NC_060925.1,10584365,10584437,-,72,59.722,40.278
-1,NC_060925.1,10584795,10584901,-,106,67.925,32.075
-1,NC_060925.1,10586772,10586970,-,198,69.697,30.303
-2,NC_060925.1,10588064,10588118,-,54,64.815,35.185
-1,NC_060925.1,10588116,10588453,-,337,65.875,34.125
-2,NC_060925.1,10588763,10588765,-,2,100.0,0.0
1,NC_060925.1,1059406,1059570,+,164,68.902,31.098
3,NC_060925.1,1059690,1059707,+,17,52.941,47.059
-1,NC_060925.1,10596441,10596526,-,85,71.765,28.235
-1,NC_060925.1,10597161,10597345,-,184,61.413,38.587
-1,NC_060925.1,10597503,10597575,-,72,75.0,25.0
-2,NC_060925.1,10598093,10598168,-,75,64.0,36.0
-3,NC_060925.1,10600189,10600364,-,175,61.714,38.286
-1,NC_060925.1,10600626,10600789,-,163,69.325,30.675
-2,NC_060925.1,10601309,10601341,-,32,84.375,15.625
1,NC_060925.1,1060476,1060512,+,36,63.889,36.111
1,NC_060925.1,1061259,1061319,+,60,76.667,23.333
-2,NC_060925.1,10609535,10609573,-,38,71.053,28.947
-3,NC_060925.1,10610185,10610210,-,25,48.0,52.0
-3,NC_060925.1,10610830,10611124,-,294,55.782,44.218
-1,NC_060925.1,10612362,10612465,-,103,46.602,53.398
-1,NC_060925.1,10612362,10612465,-,103,46.602,53.398
2,NC_060925.1,1061504,1061557,+,53,75.472,24.528
1,NC_060925.1,1061712,1061721,+,9,66.667,33.333
-3,NC_060925.1,10615171,10615499,-,328,51.524,48.476
-3,NC_060925.1,10615621,10615796,-,175,57.143,42.857
2,NC_060925.1,1061949,1061950,+,1,100.0,0.0
-1,NC_060925.1,10618380,10618408,-,28,46.429,53.571
-2,NC_060925.1,10618754,10618931,-,177,55.367,44.633
2,NC_060925.1,1062334,1062499,+,165,69.091,30.909
-3,NC_060925.1,10621234,10621277,-,43,58.14,41.86
-2,NC_060925.1,10622063,10622065,-,2,50.0,50.0
-1,NC_060925.1,10622589,10622650,-,61,62.295,37.705
-1,NC_060925.1,10622589,10622650,-,61,62.295,37.705
1,NC_060925.1,1063227,1063380,+,153,67.32,32.68
-1,NC_060925.1,10624239,10624256,-,17,47.059,52.941
2,NC_060925.1,1062684,1062685,+,1,100.0,0.0
2,NC_060925.1,1062904,1063006,+,102,77.451,22.549
-2,NC_060925.1,10628999,10629016,-,17,58.824,41.176
-3,NC_060925.1,10629355,10629368,-,13,23.077,76.923
-1,NC_060925.1,10629675,10629691,-,16,56.25,43.75
-1,NC_060925.1,10632123,10632125,-,2,50.0,50.0
3,NC_060925.1,1063816,1063817,+,1,100.0,0.0
-1,NC_060925.1,10637121,10637329,-,208,50.962,49.038
-2,NC_060925.1,10639589,10639591,-,2,100.0,0.0
-1,NC_060925.1,10641201,10641292,-,91,78.022,21.978
-2,NC_060925.1,10649750,10649752,-,2,100.0,0.0
-1,NC_060925.1,10650714,10650861,-,147,47.619,52.381
-2,NC_060925.1,10651205,10651220,-,15,46.667,53.333
-2,NC_060925.1,10654193,10654427,-,234,58.547,41.453
-3,NC_060925.1,10656901,10656971,-,70,52.857,47.143
-2,NC_060925.1,10662641,10662822,-,181,52.486,47.514
-1,NC_060925.1,10663449,10663555,-,106,51.887,48.113
-3,NC_060925.1,10665916,10666074,-,158,38.608,61.392
-2,NC_060925.1,10668146,10668197,-,51,54.902,45.098
-2,NC_060925.1,10668557,10668585,-,28,60.714,39.286
-3,NC_060925.1,10669171,10669199,-,28,42.857,57.143
-1,NC_060925.1,10669551,10669579,-,28,67.857,32.143
-1,NC_060925.1,10669998,10670029,-,31,51.613,48.387
-2,NC_060925.1,10670408,10670430,-,22,50.0,50.0
-2,NC_060925.1,10671272,10671313,-,41,51.22,48.78
-2,NC_060925.1,10672034,10672104,-,70,47.143,52.857
-1,NC_060925.1,10674549,10674655,-,106,61.321,38.679
2,NC_060925.1,1067624,1067860,+,236,73.305,26.695
-3,NC_060925.1,10675927,10675929,-,2,100.0,0.0
3,NC_060925.1,1067859,1067978,+,119,70.588,29.412
-1,NC_060925.1,10680831,10680883,-,52,53.846,46.154
-3,NC_060925.1,10681039,10681112,-,73,61.644,38.356
2,NC_060925.1,1068416,1068604,+,188,71.277,28.723
-1,NC_060925.1,10686045,10686226,-,181,54.144,45.856
-1,NC_060925.1,10688208,10688254,-,46,43.478,56.522
-3,NC_060925.1,10691677,10691704,-,27,59.259,40.741
-3,NC_060925.1,10698733,10698735,-,2,100.0,0.0
-2,NC_060925.1,1070360,1070424,-,64,75.0,25.0
-3,NC_060925.1,1070818,1070820,-,2,50.0,50.0
-1,NC_060925.1,10708965,10709029,-,64,48.438,51.562
-3,NC_060925.1,1071085,1071169,-,84,69.048,30.952
-2,NC_060925.1,1071296,1071384,-,88,69.318,30.682
-1,NC_060925.1,1071486,1071568,-,82,71.951,28.049
-3,NC_060925.1,1071829,1071895,-,66,74.242,25.758
1,NC_060925.1,107186346,107186352,+,6,66.667,33.333
-1,NC_060925.1,1072203,1072249,-,46,67.391,32.609
-2,NC_060925.1,1072661,1072987,-,326,68.405,31.595
-3,NC_060925.1,1072894,1072987,-,93,73.118,26.882
2,NC_060925.1,10731545,10731697,+,152,50.0,50.0
3,NC_060925.1,10733960,10733990,+,30,56.667,43.333
3,NC_060925.1,10735364,10735388,+,24,66.667,33.333
2,NC_060925.1,10736249,10736305,+,56,50.0,50.0
-1,NC_060925.1,10740846,10740848,-,2,100.0,0.0
-2,NC_060925.1,10740980,10741131,-,151,56.291,43.709
3,NC_060925.1,107432859,107432864,+,5,60.0,40.0
1,NC_060925.1,107445244,107445249,+,5,40.0,60.0
-1,NC_060925.1,1074525,1074763,-,238,68.487,31.513
-1,NC_060925.1,1074525,1074879,-,354,68.362,31.638
2,NC_060925.1,107456177,107456188,+,11,54.545,45.455
1,NC_060925.1,107458684,107458731,+,47,36.17,63.83
-2,NC_060925.1,10746113,10746151,-,38,55.263,44.737
1,NC_060925.1,107468458,107468517,+,59,40.678,59.322
3,NC_060925.1,107474340,107474345,+,5,40.0,60.0
-2,NC_060925.1,1074851,1074879,-,28,75.0,25.0
-2,NC_060925.1,10753838,10753902,-,64,46.875,53.125
-3,NC_060925.1,1075417,1075534,-,117,67.521,32.479
-2,NC_060925.1,10754384,10754386,-,2,50.0,50.0
-1,NC_060925.1,1075470,1075534,-,64,62.5,37.5
-3,NC_060925.1,10757725,10757738,-,13,38.462,61.538
-2,NC_060925.1,107611424,107611578,-,154,53.247,46.753
-1,NC_060925.1,1076115,1076148,-,33,63.636,36.364
-3,NC_060925.1,1076287,1076392,-,105,60.952,39.048
-3,NC_060925.1,1076287,1076392,-,105,60.952,39.048
-2,NC_060925.1,107633714,107633729,-,15,20.0,80.0
-1,NC_060925.1,107639841,107639914,-,73,27.397,72.603
-3,NC_060925.1,107640562,107640564,-,2,50.0,50.0
-3,NC_060925.1,1076785,1076833,-,48,41.667,58.333
-3,NC_060925.1,1076785,1076872,-,87,56.322,43.678
-3,NC_060925.1,1076785,1076872,-,87,56.322,43.678
-3,NC_060925.1,1076785,1076833,-,48,41.667,58.333
-2,NC_060925.1,107680007,107680137,-,130,46.154,53.846
-3,NC_060925.1,10770121,10770260,-,139,48.921,51.079
-2,NC_060925.1,107720912,107720963,-,51,37.255,62.745
-1,NC_060925.1,10772427,10772517,-,90,47.778,52.222
-2,NC_060925.1,107725841,107725857,-,16,25.0,75.0
-2,NC_060925.1,107725841,107725857,-,16,25.0,75.0
-2,NC_060925.1,10772819,10772892,-,73,50.685,49.315
-3,NC_060925.1,10774009,10774028,-,19,47.368,52.632
-3,NC_060925.1,107741959,107741992,-,33,30.303,69.697
-3,NC_060925.1,107742400,107742402,-,2,100.0,0.0
-3,NC_060925.1,10775644,10775735,-,91,49.451,50.549
-3,NC_060925.1,10775644,10775735,-,91,49.451,50.549
-1,NC_060925.1,107786391,107786393,-,2,50.0,50.0
-1,NC_060925.1,107786850,107786887,-,37,27.027,72.973
-1,NC_060925.1,107786850,107786887,-,37,27.027,72.973
-2,NC_060925.1,10779371,10779435,-,64,59.375,40.625
-3,NC_060925.1,10779967,10779994,-,27,51.852,48.148
-3,NC_060925.1,107802526,107802542,-,16,31.25,68.75
-2,NC_060925.1,107808056,107808102,-,46,32.609,67.391
-1,NC_060925.1,107810142,107810200,-,58,25.862,74.138
-1,NC_060925.1,107810142,107810200,-,58,25.862,74.138
-2,NC_060925.1,107814641,107814703,-,62,33.871,66.129
-2,NC_060925.1,107816906,107816908,-,2,100.0,0.0
-2,NC_060925.1,10781864,10781894,-,30,43.333,56.667
-3,NC_060925.1,107822845,107822930,-,85,48.235,51.765
-2,NC_060925.1,107824034,107824068,-,34,41.176,58.824
-2,NC_060925.1,10783127,10783144,-,17,58.824,41.176
-1,NC_060925.1,10784703,10784705,-,2,50.0,50.0
-1,NC_060925.1,10784703,10784705,-,2,50.0,50.0
-3,NC_060925.1,10789129,10789216,-,87,43.678,56.322
-3,NC_060925.1,107912362,107912381,-,19,21.053,78.947
-3,NC_060925.1,107912362,107912381,-,19,21.053,78.947
-2,NC_060925.1,1079291,1079612,-,321,59.19,40.81
-2,NC_060925.1,1079291,1079612,-,321,59.19,40.81
-1,NC_060925.1,10797555,10797583,-,28,57.143,42.857
-1,NC_060925.1,10797555,10797583,-,28,57.143,42.857
-2,NC_060925.1,10798388,10798524,-,136,52.941,47.059
-3,NC_060925.1,10799968,10800076,-,108,43.519,56.481
-2,NC_060925.1,108002069,108002142,-,73,64.384,35.616
-3,NC_060925.1,10800751,10800839,-,88,45.455,54.545
2,NC_060925.1,10815653,10815751,+,98,50.0,50.0
-1,NC_060925.1,108260268,108260323,-,55,41.818,58.182
-3,NC_060925.1,108262534,108262564,-,30,53.333,46.667
-1,NC_060925.1,108265647,108265779,-,132,50.0,50.0
-2,NC_060925.1,108266681,108266683,-,2,100.0,0.0
-1,NC_060925.1,108267453,108267765,-,312,50.0,50.0
-2,NC_060925.1,108268757,108268759,-,2,100.0,0.0
-1,NC_060925.1,108269694,108269793,-,99,45.455,54.545
3,NC_060925.1,10827326,10827722,+,396,57.576,42.424
-3,NC_060925.1,108270808,108270810,-,2,100.0,0.0
-1,NC_060925.1,108272226,108272253,-,27,51.852,48.148
-3,NC_060925.1,108273331,108273333,-,2,100.0,0.0
-1,NC_060925.1,108274380,108274455,-,75,56.0,44.0
-2,NC_060925.1,108275561,108275563,-,2,100.0,0.0
-2,NC_060925.1,108276959,108277073,-,114,35.088,64.912
-2,NC_060925.1,108276959,108277073,-,114,35.088,64.912
-2,NC_060925.1,108277349,108277388,-,39,38.462,61.538
-2,NC_060925.1,108277349,108277388,-,39,38.462,61.538
-2,NC_060925.1,108280025,108280055,-,30,56.667,43.333
-3,NC_060925.1,1083988,1083990,-,2,100.0,0.0
1,NC_060925.1,108481159,108481188,+,29,55.172,44.828
2,NC_060925.1,108484163,108484276,+,113,35.398,64.602
2,NC_060925.1,108484163,108484276,+,113,35.398,64.602
2,NC_060925.1,108485673,108485674,+,1,100.0,0.0
2,NC_060925.1,108486779,108486853,+,74,55.405,44.595
1,NC_060925.1,108487901,108487902,+,1,100.0,0.0
2,NC_060925.1,108488981,108489007,+,26,50.0,50.0
3,NC_060925.1,108490438,108490439,+,1,100.0,0.0
3,NC_060925.1,108490714,108490715,+,1,100.0,0.0
1,NC_060925.1,108491455,108491553,+,98,43.878,56.122
2,NC_060925.1,108492489,108492490,+,1,100.0,0.0
1,NC_060925.1,108493483,108493653,+,170,46.471,53.529
2,NC_060925.1,108494565,108494566,+,1,100.0,0.0
1,NC_060925.1,108495469,108495600,+,131,50.382,49.618
1,NC_060925.1,108498805,108498834,+,29,55.172,44.828
1,NC_060925.1,108501045,108501099,+,54,40.741,59.259
2,NC_060925.1,108593553,108593554,+,1,100.0,0.0
2,NC_060925.1,108633685,108633688,+,3,33.333,66.667
1,NC_060925.1,108639252,108639309,+,57,29.825,70.175
3,NC_060925.1,108657744,108657833,+,89,38.202,61.798
3,NC_060925.1,108661248,108661256,+,8,62.5,37.5
3,NC_060925.1,108661570,108661598,+,28,17.857,82.143
2,NC_060925.1,108661790,108661795,+,5,60.0,40.0
